実数値,育て方,種族値,ポケモン,特性,アイコンID,ランク,D,C,A,B,イーブイ,DLC,IV,EV,性格
135,最速,30,タネボー,,1PXhddeEhYSrLrsfwcGbEYpU36DHNmX8n,1,X,X,X,X,X,O,31,252,1.1
135,最速,30,ダンバル,,1M4gHdWPe1-cJZMQ5ZJC2mnjZ4s7nxeRb,1,X,X,X,X,X,O,31,252,1.1
135,最速,30,ランクルス,,1QRWbH8JSylLO6G80j1w28bYR9jUKHsPv,1,X,X,X,X,X,O,31,252,1.1
135,最速,30,ダブラン,,1Japv_QtMEJcWXA0qxTtqtOXWWwYS75S4,1,X,X,X,X,X,O,31,252,1.1
135,最速,30,カビゴン,,1gVvB_yFKlmEVTgcAzk4Aj8j7npQ3t57s,1,X,X,X,X,X,O,31,252,1.1
135,無振り,115,チラチーノ,,1MbiTW47IxUh62vVEQQJ8NlBIf2Ua1zK8,0,X,X,X,X,X,O,31,0,1
135,無振り,115,エテボース,,1sCoMlbUXL-lIWxP86SGNGB8y8ATsHu8w,0,X,X,X,X,X,O,31,0,1
134,準速,82,ルガルガン(まよなかのすがた),,1mrw9Mdmb9XPVyILBCBid1eYCgQzN1nWD,0,O,O,O,O,X,X,31,252,1
134,準速,82,ガバイト,,1Xx0Mm7_izUVKVE5GOw4ijo4REAjhWc_q,0,O,O,O,O,X,X,31,252,1
134,準速,82,オトシドリ,,187EWsAVTot9H-GxyWZ-nWQH6nQkCVq4U,0,O,O,O,O,X,X,31,252,1
134,準速,82,ドラメシヤ,,1IheUlA0GjWDLdgqmYnlJf3glzB5rSb1N,0,O,O,O,O,X,X,31,252,1
134,準速,82,シャリタツ(そったすがた),,1MmvvGPTtLtEy2cPi4mBNQaVrf1tylpRt,0,O,O,O,O,X,X,31,252,1
134,準速,82,シャリタツ(たれたすがた),,1-mBkJyOWziD7ObNGfTbaRs5ft7dVigJn,0,O,O,O,O,X,X,31,252,1
134,準速,82,シャリタツ(のびたすがた),,1DXwiKWhmlmddzZvdbYaeXlN1fQpXRk-7,0,O,O,O,O,X,X,31,252,1
#N/A,最速,#N/A,ダイケンキ,,#N/A,0,#N/A,,,,,X,31,252,1.1
134,最速,70,ゾロア(ヒスイのすがた),,1bnAQQLKhNRRJXujiouwV9lyzmUNlbzCi,0,O,X,X,X,X,X,31,252,1.1
134,最速,70,フーパ(いましめられしフーパ),,1svbHy2OC0nzxBQlGj7uN16d_iLFUqLqs,0,X,X,X,X,X,X,31,252,1.1
134,最速,70,ボルケニオン,,1-fq7XFOhk3hpVWmkscFL9qazdY0BgOlO,0,X,X,X,X,X,X,31,252,1.1
#N/A,最速,#N/A,ジュナイパー,,#N/A,0,O,X,X,X,X,X,31,252,1.1
134,最速,70,メッソン,,1ENfeh7BA6sOwn3mBAApnemiP3WWcj9ZO,0,O,X,X,X,X,X,31,252,1.1
134,最速,70,ミツハニー,,1usiuWQ4jAHZYRcts5IkgKLMQ-kyo_qjo,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,レントラー,,1oaHVW_BYimvpacwjw37nb74cbRidxV4_,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,キノガッサ,,1KRgOy_Ro4CYa8Rdx20jRRWT7JlOX0FbT,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,アップリュー,,18twn_ZuqgI9DIKBSaVYXYqTRjcIoE4NL,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,フワンテ,,1fGn9zpbTbWon7EGRTTEBP4UHyC0S-p5E,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,マンキー,,1R_TSAcbBGOEWulpRpsHhPYIjD90djETH,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,カイデン,,1pNRSHb_Mat5OeSphCK-hiY4gudZwOjfr,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,レアコイル,,1BCJ79j9VPhQDaB1AWXl0yNG2jbZ4IsYi,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,ポットデス,,1thEEr1FZvb-kaokQEfPuXVl5aPpBJa6w,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,ノノクラゲ,,1nJWYMJvcs1cKlAHYRvX3IUBZOZVk7ukb,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,ギモー,,1JHrdqglxXhXaqz4JWmgYgebxnXgZQMVI,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,イシヘンジン,,19mdG_ULI3lZtTtUE-1Keno-29PNpSfsl,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,パルシェン,,1YlWVgT3kG0hLgTjdaKX20H14uYFFA2zB,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,ハクリュー,,11ZZET6FPHbiZNDyOD_iCeCnOEMjrw7mf,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,キリキザン,,1swB4tOUUJj_PtCvE045PDMb-FLnB7W12,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,ミガルーサ,,1B4ibBOZ3DE0JEhNtrMv6Q-BvAqwWSg01,0,O,O,O,O,X,X,31,252,1.1
134,最速,70,チオンジェン,,1Zntyp8uRiVFoHcu11vFXfG0ZFdwTigug,0,O,O,X,X,X,X,31,252,1.1
134,最速,70,ジュゴン,,1cE2279dA4z7lmIbqQQB6dZrE5PoU9Wh8,0,X,X,X,X,X,O,31,252,1.1
134,最速,70,メタグロス,,1bCCMgJRGzOPG37KZrqDYgeQxpZUdRz6n,0,X,X,X,X,X,O,31,252,1.1
134,最速,70,ビブラーバ,,1MDn_-IiSXiVsU1fpMhkWoN_NOYlpYuO7,0,X,X,X,X,X,O,31,252,1.1
134,最速,70,グラエナ,,1nYVmWk1d3mg2BTZ7fb-F9bImYqeDsgCU,0,X,X,X,X,X,O,31,252,1.1
133,準速,81,ギャラドス,,1mZHd9130FMMBBC4_JKRFETNC1Q1lIPth,0,O,O,O,O,X,X,31,252,1
133,準速,81,チヲハウハネ,,1TT7fl-T4cCdUMbrEOH3M8pEhy8KNGgVF,0,O,O,O,X,X,X,31,252,1
133,最速,69,ヒバニー,,1e1gRx6NNihgidVyL59K3wcwIOG6M7v02,0,O,X,X,X,X,X,31,252,1.1
133,最速,29,コフーライ,,116pgtbqxkAAVoZiekrI3GfCLDWIgAd80,1,O,O,O,O,X,X,31,252,1.1
133,最速,29,ブリムオン,,1e9tdC5R0ExwoTeAPRRg4OSmPRiy-aDoM,1,O,O,O,O,X,X,31,252,1.1
133,準速,81,ミロカロス,,14MVmuKK70HPMrrtVfSEHMauSj8o3QFkO,0,X,X,X,X,X,O,31,252,1
132,最遅,142,ドラパルト,,1gDDB3qD8gSa3pKqeJ_8Sg1cb3ylrYPON,0,O,O,O,O,X,X,0,0,0.9
132,無振り,112,ルガルガン(まひるのすがた),,1rgxUnI76--3kCfRG_pSCN7gbt50IjZKk,0,O,O,O,O,X,X,31,0,1
132,準速,80,リザード,,1FvjtoGYpW26hMrGQmDLuOHBbGQj7Qf80,0,O,X,X,X,X,X,31,252,1
132,準速,80,マグマラシ,,12SuSfFCLSZN8wyps0BS4x3g7YQxLXDP7,0,O,X,X,X,X,X,31,252,1
132,準速,80,エムリット,,1MJ7-LFclpZcA-Vnl_7ZnHWQMz7BkKfAl,0,O,X,X,X,X,X,31,252,1
132,準速,80,フーパ(ときはなたれしフーパ),,1UvryfN-IGcv2E9m6m-PgOEuLrj-2ZnRz,0,X,X,X,X,X,X,31,252,1
132,準速,80,バチンキー,,1YCeQ9EvvNd-ouhhmOwhHQdccke_RS9PO,0,O,X,X,X,X,X,31,252,1
132,準速,80,レジドラゴ,,1494V_TTMdJ2DJqNv_btZSrdWoe_fKsUE,0,O,X,X,X,X,X,31,252,1
#N/A,準速,#N/A,バドレックス,,#N/A,0,#N/A,,,,,X,31,252,1
132,準速,80,ポポッコ,,1uKkwRVCuw1QZWkQPCy5eh70fTz-BDmPl,0,O,O,O,O,X,X,31,252,1
132,準速,80,アメモース,,14Ovw85EVlNyWrqL1C1T9wszo6YHVNylJ,0,O,O,O,O,X,X,31,252,1
132,準速,80,サーナイト,,125X9pfF9FDs0WLDhfqsZvUh8leTRue0M,0,O,O,O,O,X,X,31,252,1
132,準速,80,エルレイド,,1XkeaEtqsrpcJKB7byqIHjemHddS0XFLV,0,O,O,O,O,X,X,31,252,1
132,準速,80,ゴース,,1V6BYJJljGgebnwJGZkYiLgzui7t-SWAi,0,O,O,O,O,X,X,31,252,1
132,準速,80,ムクバード,,1PX8g8ZqPcFC50FkVKvBasbQ5S4A1kexx,0,O,O,O,O,X,X,31,252,1
132,準速,80,ブーピッグ,,1H39jcnd-VbCwPsw8gHMOgZo2Z_0W01Eg,0,O,O,O,O,X,X,31,252,1
132,準速,80,コイキング,,15eHgNs65yfnkZHyv6HiOyuP8tz1ncnnb,0,O,O,O,O,X,X,31,252,1
132,準速,80,フワライド,,1IigNqWaYhKt2mUm1SVpFXyiSkuiYKOjQ,0,O,O,O,O,X,X,31,252,1
132,準速,80,チャーレム,,1B9cDhnyHAtzfa-pGH3U1nuPW6p3czkqa,0,O,O,O,O,X,X,31,252,1
#N/A,準速,#N/A,ヌメルゴン,,#N/A,0,#N/A,,,,,X,31,252,1
132,準速,80,チルタリス,,1CclXXzroRfucKPo_XiNcCT-V4WL1oejS,0,O,O,O,O,X,X,31,252,1
132,準速,80,ナゲツケサル,,1c70qkayDvsr-ADyBVYoV1VKzI-u9EV9_,0,O,O,O,O,X,X,31,252,1
132,準速,80,カイリュー,,1VExZ5saCl1mr5KiDRZBTkCnZn2PRnbtV,0,O,O,O,O,X,X,31,252,1
132,準速,80,オニゴーリ,,1-Si6CL7Z4_bNrgg4gGf9n9Hhk1DmaF3n,0,O,O,O,O,X,X,31,252,1
#N/A,準速,#N/A,ウォーグル,,#N/A,0,#N/A,,,,,X,31,252,1
132,準速,80,コレクレー(とほフォルム),,1faZ_y0XgvfJ3RHa3UAbMFQgkjia-v646,0,O,X,X,X,X,X,31,252,1
132,最速,68,ゴーゴート,,1A1oYhoTbzRJ5uwKZhPc9FUW9buxNzbpD,0,O,O,O,O,X,X,31,252,1.1
132,最速,68,ハカドッグ,,16rpnQcsEJOAKvNU--qF_sTODxTk-wsL2,0,O,O,O,O,X,X,31,252,1.1
132,準速,36,ホゲータ,,1oujfdN9ly81oPsA-LmsJDbrZ-eYPErhZ,1,O,O,O,O,X,X,31,252,1
132,最速,28,カチコール,,1K-Qq-YoWgZi13peNXNQ1Wci1HBUUKURn,1,O,O,O,O,X,X,31,252,1.1
#N/A,最速,#N/A,クレベース,,#N/A,1,#N/A,,,,,X,31,252,1.1
132,最速,68,ニャスパー,,1o33BP6JP_kPLkyGgRGhnw9dPKfNZ_a2N,0,X,X,X,X,X,O,31,252,1.1
132,準速,80,ヒンバス,,1y1ZnCDByr-Pn1Nd3uMcl94XvE0CsZptM,0,X,X,X,X,X,O,31,252,1
132,準速,80,ダーテング,,16peRdCVf-7pvkSFREUwiZePYOQCzngaw,0,X,X,X,X,X,O,31,252,1
132,準速,80,マンムー,,1t3__7ViV6X0_o7kmlgyaWTzZo5n_IMKs,0,X,X,X,X,X,O,31,252,1
131,無振り,111,トルネロス(けしんフォルム),,1vgk5r3d9Oil8OMl5sES_V4X6gqzLUdWJ,0,O,X,X,X,X,X,31,0,1
131,無振り,111,ボルトロス(けしんフォルム),,1uPx1ukRwWU1_9-dNfurGkh-plQCPTRST,0,O,X,X,X,X,X,31,0,1
131,無振り,111,イッカネズミ(3びきかぞく),,1cvKu6M1Qutmhq15mPzIl3wfAgMfxYrGR,0,O,O,O,O,X,X,31,0,1
131,無振り,111,イッカネズミ(4ひきかぞく),,1s9sEvmZzi7Piz57vwt-RUOQm14wtjM4R,0,O,O,O,O,X,X,31,0,1
131,無振り,111,サケブシッポ,,14XkoZPxiN1QxPkgtp8UatUtCZq4clnsg,0,O,O,O,X,X,X,31,0,1
130,無振り,110,ライチュウ(アローラのすがた),,1QSJTjBbWHc_4lewKzO0USv9Zq0KnL5tB,0,O,X,X,X,X,X,31,0,1
130,無振り,110,ダグトリオ(アローラのすがた),,1U7FVj9uo-esM_tquBIiSTfvOiYYGaE9K,0,O,X,X,X,X,X,31,0,1
130,無振り,110,ゾロアーク(ヒスイのすがた),,1WiFBaKHehtTv-lu-GsklqFlV1c9N7Kbw,0,O,X,X,X,X,X,31,0,1
130,無振り,110,ワタッコ,,1vSnBPxmfYUoP_5vqk4eQzNNTYy-8QFD8,0,O,O,O,O,X,X,31,0,1
130,無振り,110,ゲンガー,,1t4eQ-nHU_wlcu6S7iI4sq8Fn1R1z7FRW,0,O,O,O,O,X,X,31,0,1
#N/A,無振り,#N/A,ライチュウ,,#N/A,0,#N/A,,,,,X,31,0,1
130,無振り,110,ルガルガン(たそがれのすがた),,1t6yql2JC3fhbdkFnuG_4Nv91qsC7pp0H,0,O,O,O,O,X,X,31,0,1
130,無振り,110,エーフィ,,1V23N5p0FV_tpvd9po84wBemZ5lLScWk6,0,O,O,O,O,O,X,31,0,1
130,無振り,110,タギングル,,1g1M1ZqVZ2rfS-PN60HPNE6RpV-rNyt5F,0,O,O,O,O,X,X,31,0,1
#N/A,無振り,#N/A,ケンタロス,,#N/A,0,#N/A,,,,,X,31,0,1
130,無振り,110,ユキメノコ,,15ioprpkWakmn9Pa6wrF2c00ob6Zmh5K3,0,O,O,O,O,X,X,31,0,1
130,無振り,110,テツノドクガ,,1arivP4ie7WbaD6sBQe7ExW0pApO3u1Wz,0,O,O,O,X,X,X,31,0,1
130,準速,78,イダイトウ(メスのすがた),,17Vc2HMaQynNIbmyHYAFGlI1OUVRnoGhj,0,O,X,X,X,X,X,31,252,1
130,準速,78,イダイトウ(オスのすがた),,1lCKX4oR1z5N21EnLXRBOuNxLy4ldloMr,0,O,X,X,X,X,X,31,252,1
130,準速,78,ナカヌチャン,,1oBrsJPsFdmFXHgkY1hTBfiu5dDdsSaM9,0,O,O,O,O,X,X,31,252,1
130,最速,67,アーマーガア,,1rhmMPAJypsALmqyPhEZXrazGNb74Q_AM,0,O,O,O,O,X,X,31,252,1.1
130,最速,67,スリーパー,,1QQ--pAuiS5xYYzgoBq_4ZKWMGEskssoY,0,O,O,O,O,X,X,31,252,1.1
130,最速,67,オノンド,,1d22Z39w_zLECEPW4jk4MJtYK6R32mCwX,0,O,O,O,O,X,X,31,252,1.1
130,準速,35,ヌオー,,1IDbC0zhWTOFtFE8z5PbZ4nSpLNA-ZpTN,1,O,X,X,X,X,X,31,252,1
130,準速,35,グルトン,,1u-5NMiZIjw2LtDDCv7PbfDypiw70V_kR,1,O,O,O,O,X,X,31,252,1
130,準速,35,ワナイダー,,1BN8RVdWMXszWJYEUnxvVRhWavN8ljai_,1,O,O,O,O,X,X,31,252,1
130,準速,35,コフキムシ,,1RDNtfcbIs9WULAQPneoxWptsQLtnltx0,1,O,O,O,O,X,X,31,252,1
130,準速,35,メリープ,,102PXVsCX-VmrtHja32xfo1HrfxBqViKR,1,O,O,O,O,X,X,31,252,1
130,準速,35,キノココ,,1bfbjmEbRESdQ7cHMCpi49G9005czM0IA,1,O,O,O,O,X,X,31,252,1
130,準速,35,ジオヅム,,1cnwt6JgKzNJKkadGFOQm2u2a4z7DVkbg,1,O,O,O,O,X,X,31,252,1
130,準速,35,キョジオーン,,19y-M_g2Ky-LQFgC2Rn4dyL0hxUD0ac_u,1,O,O,O,O,X,X,31,252,1
130,準速,35,ドンメル,,1pbN7PXDeSutP3b5yoWtqnGz_Xz54QOTT,1,O,O,O,O,X,X,31,252,1
130,準速,35,カルボウ,,1Hr6PVj6FBcd1gaz8N78o13C8TbwoTws0,1,O,O,O,O,X,X,31,252,1
130,準速,35,カリキリ,,10K6VlS0ZGVNcvwXeVpJL1sfha8E7xjmE,1,O,O,O,O,X,X,31,252,1
130,準速,35,サボネア,,1e-ogIafSVR8UinSZAg61BWqpL8DIKdjA,1,O,O,O,O,X,X,31,252,1
130,準速,35,バンバドロ,,1KwJjAuvc-ad_wdZYSd2mjA9HLKTy-0AR,1,O,O,O,O,X,X,31,252,1
130,準速,35,ミカルゲ,,11rX28t97_7lN0z3T5Tht8cf-6oLJ9h1V,1,O,O,O,O,X,X,31,252,1
130,準速,35,シロデスナ,,1UO2EViPUnT84bW8inCLrzGcrw79vG7G2,1,O,O,O,O,X,X,31,252,1
130,準速,35,ドヒドイデ,,1ZO1K0lsM6bGY6gXPJEGQmy-GMzHiXvKN,1,O,O,O,O,X,X,31,252,1
130,準速,35,ヘイラッシャ,,1JgeHULzfxcTiM2lQ6msnNYYqLG4hKrRW,1,O,O,O,O,X,X,31,252,1
129,無振り,109,ウネルミナモ,,1NBDOBfpg_HjkDzY4LhUGQvqtU94KtIAh,0,X,X,X,X,X,X,31,0,1
129,準速,77,ヒードラン,,1Gi2Ed1rvR0IW9QLikwC4WQfp0F2S1bCh,0,O,X,X,X,X,X,31,252,1
129,準速,77,アオガラス,,1yOKdAU3UGdenyeubycErEBx7_cIYzsCQ,0,O,O,O,O,X,X,31,252,1
129,準速,77,ヤトウモリ,,1NKSqkaTzmXktAqGKFPB6zlOuoKHfgd0l,0,O,O,O,O,X,X,31,252,1
129,最速,66,ラウドボーン,,1ikRPZLK0KmJqZj9CjQdlfzKU_UY5V2W8,0,O,O,O,O,X,X,31,252,1.1
129,最速,66,サシカマス,,1Uv3wrw8AZHu9KwOa_bnkjIlvMSBEyZjl,0,O,O,O,O,X,X,31,252,1.1
129,最速,66,ケイコウオ,,1QkM84cxaQ-K5vkaFgoCe3k8TO6m5Q9Mr,0,O,O,O,O,X,X,31,252,1.1
129,準速,34,ボチ,,16GIDQXrw0TawakaZCs3S8irVL9iHJzIG,1,O,O,O,O,X,X,31,252,1
129,準速,34,カラナクシ,,1K2n_1LbHuOHBoElRGt4pFg0BlsbpEjyj,1,O,O,O,O,X,X,31,252,1
129,最速,66,モンメン,,1kKMRQYjvb1FleBPIK_5ql7c8mTc9m8vL,0,X,X,X,X,X,O,31,252,1.1
129,無振り,109,キュウコン(アローラのすがた),,1jHUEGmorEL4FmY1b0OHRN7Y6L7Kws7aL,0,X,X,X,X,X,O,31,0,1
128,最遅,138,ザシアン(れきせんのゆうしゃ),,1y0QwEAqhzKgTqN3s61wLL8X_GDiXdzAt,0,X,X,X,X,X,X,0,0,0.9
128,最遅,138,ザマゼンタ(れきせんのゆうしゃ),,1LostHoJFpN41WSA-016utR5I2dXkD3tk,0,X,X,X,X,X,X,0,0,0.9
128,無振り,108,テツノコウベ,,1yj6SNTN-nun-0AWs90_HmkyeKw0fIoDT,0,O,O,O,X,X,X,31,0,1
128,最速,65,ヒトカゲ,,10sRbpMS5T5bxeQg-Js6UGolvc36Z3FUe,0,O,X,X,X,X,X,31,252,1.1
128,最速,65,ヒノアラシ,,1LZ2zxgST_7GmRJqHjpzuwzc9uj5oAlff,0,O,X,X,X,X,X,31,252,1.1
128,最速,65,ウォーグル(ヒスイのすがた),,1oiEOrsaJr9k_uQ9b-5KLRI175_xKv4BZ,0,O,X,X,X,X,X,31,252,1.1
128,最速,65,マギアナ,,1ZCm3vATHDf1ehFA70_tgvuzeQXQaqXiE,0,X,X,X,X,X,X,31,252,1.1
128,最速,65,サルノリ,,14FXcYnUUB6yB9OnezEZhRrwEGQj66QVp,0,O,X,X,X,X,X,31,252,1.1
128,最速,65,アヤシシ,,16J5Wj3-zEakl0mVAQKXE_1by5YkfV2OK,0,O,X,X,X,X,X,31,252,1.1
128,最速,65,ニャオハ,,1_noUKecMQGeiu5LgzBsbcRCDifSD_mjJ,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,ウェルカモ,,1YRBZEmVRJ193-4r09850f9NsImQ9eevG,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,パフュートン(オスのすがた),,1eIL64NJs47Bzuo7iUja1jLogmKL2Ius7,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,パフュートン(メスのすがた),,1lbdFQXISIUftZYKW1xRTs0oE34QiLIPA,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,デルビル,,1iEdc9fo2AUBXr_aq1Z7i2TkqzF2Z1Kf3,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,コロトック,,1tIiiQIM18XVJnDptgPJLAGoGHCkWdJYn,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,アメタマ,,1uHj0UkMod3m29PSlMQH1HR3lEirrmtkb,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,パピモッチ,,1Z26I-y0lUL5ZHJwIX43TuXwtOslkJi7J,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,ペリッパー,,1VI4DUheCh_8IKHtNUoxcx_pMJVcQ40uu,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,シャワーズ,,1PyJG1AuInHTjIE27wLdjJGwwnykYQDjZ,0,O,O,O,O,O,X,31,252,1.1
128,最速,65,ブースター,,1S_yLTTu2yEC0kvIjxlW3VeFXlPKIDjeN,0,O,O,O,O,O,X,31,252,1.1
128,最速,65,ブラッキー,,16wgu7isw6lfA_v0yG_8HtzfHNzb_U3ln,0,O,O,O,O,O,X,31,252,1.1
128,最速,65,グレイシア,,1CGIusbU8Mohjlf-7JoxklDFwlZrNvdOy,0,O,O,O,O,O,X,31,252,1.1
128,最速,65,ハブネーク,,1nUc02dkMTKWaelp8FjpbhKqwVKMOUIpk,0,O,O,O,O,X,X,31,252,1.1
#N/A,最速,#N/A,ゾロア,,#N/A,0,#N/A,,,,,X,31,252,1.1
128,最速,65,ゴチルゼル,,1k_oFWBx9FKI3guoI6771nKkYqcuegdOW,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,ハッサム,,1GOzGXtB2FiKvQyMpfGu2SEy7IBjGhSgZ,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,メグロコ,,10RN3YkwRU7v5wWH0rLLXG1QgkJhSBuho,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,ミミズズ,,1rUcDkMpLyMDjPkxGUI-HgHpxNqSt74Kj,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,ジュペッタ,,1gSfRH2-CjE37vzqNIzah3wZvCQBLqqX8,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,ネッコアラ,,1Z0ETUnqplQtMG7dwDNpZgMSkIA_vqjIH,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,ママンボウ,,1JQga37-x3HHQS23JXi6EX0hU62Q51Twe,0,O,O,O,O,X,X,31,252,1.1
128,最速,65,モスノウ,,1hBwAVWUajaAir3kw13ZKI2t8RgllswMp,0,O,O,O,O,X,X,31,252,1.1
128,無振り,44,カムカメ,すいすい,131-nClfT12x6sKDqGB1_JwlUcg2ga6cg,2,O,O,O,O,X,X,31,0,1
128,最速,65,チリーン,,1bHca6QlhJe_zToj_r7YCF8-YhJK9qL2R,0,X,X,X,X,X,O,31,252,1.1
#N/A,最速,#N/A,ロコン,,#N/A,0,X,X,X,X,X,O,31,252,1.1
128,最速,65,ロコン(アローラのすがた),,173OaFRv3xFCVK94Zb8OWiODCaw57kQ-f,0,X,X,X,X,X,O,31,252,1.1
128,準速,76,シママ,,1gNM_qCku_3PczH-HpDhExEdeFODVGNHX,0,X,X,X,X,X,O,31,252,1
127,準速,75,ワッカネズミ,,1TLkTfkUVjJLYy6K-mKVs_WnEQvSMpwiD,0,O,O,O,O,X,X,31,252,1
127,準速,75,フラージェス,,1798LaG-lDSRlslG6EM8csxxGPwx1sMGr,0,O,O,O,O,X,X,31,252,1
127,準速,75,グレンアルマ,,18EhN4VQQMHnLirBIFs1CBJ8zAA5xGmaU,0,O,O,O,O,X,X,31,252,1
127,準速,75,シキジカ,,1UUiCwtUCw0f6K8AZqpn9KdIu1b-xKM2p,0,O,O,O,O,X,X,31,252,1
127,準速,75,ストリンダー(ハイなすがた),,1Ka_0Qci-owq6eJ0RJwVtmgsCZmS0YRqa,0,O,O,O,O,X,X,31,252,1
127,準速,75,ストリンダー(ローなすがた),,1Kg8-I30SB2VkcVLhIHMwAVlSEkvvZOVx,0,O,O,O,O,X,X,31,252,1
127,準速,75,シルシュルー,,1K-bFM0WnP298psJZDSn_zvcGeoWfuTpw,0,O,O,O,O,X,X,31,252,1
127,準速,75,クレッフィ,,1wW2sDEIoFamzilqA8RR2_bkyQpbPrXg4,0,O,O,O,O,X,X,31,252,1
127,準速,75,ガケガニ,,14XbsxeZTW-8bunlLcqyAQlJULbIiKi1V,0,O,O,O,O,X,X,31,252,1
127,準速,75,スコヴィラン,,1Mip56aizWOTV-BsZvpXXzLzh8cWvGeqv,0,O,O,O,O,X,X,31,252,1
127,準速,75,ヒラヒナ,,1vuCq7IuMAX2WNO-86dxm0Qz5g4tvmoJy,0,O,O,O,O,X,X,31,252,1
127,準速,75,ナミイルカ,,1GKECiAISpfxpJKHhboKYgVNj4CqO4ZT-,0,O,O,O,O,X,X,31,252,1
127,準速,75,タイレーツ,,1smJ1aIHX8So2LC4q8ZEAs0hZf30c_Hgg,0,O,O,O,O,X,X,31,252,1
127,準速,75,デリバード,,1BREd0dIGvF91MMWM9W7MADfBzVIzKdGF,0,O,O,O,O,X,X,31,252,1
127,最速,64,ブリガロン,,18x-515ZMfWj0YE4SYs6pyWuauPKWN6_y,0,O,X,X,X,X,X,31,252,1.1
127,準速,33,オリーニョ,,1lPmCiEAXBbUP6r28urr_cqTes1ta71Ta,1,O,O,O,O,X,X,31,252,1
127,準速,33,ドータクン,,122YaRuRqKXsCLHCvsVZGZYQLpNaW0jaJ,1,O,O,O,O,X,X,31,252,1
127,最速,64,マホイップ,,1eiYyEE0JH-B3jU4SC4w66_J-ntR7vb2r,0,X,X,X,X,X,O,31,252,1.1
127,準速,75,チラーミィ,,1wZJW-LP2TvFI44o8a2k6LuhrgCjAk_Sq,0,X,X,X,X,X,O,31,252,1
126,最遅,136,カマスジョー,,1s27bLsYXqwlBySR8Wq27gpFvI4Q64Fqe,0,O,O,O,O,X,X,0,0,0.9
126,最遅,136,テツノツツミ,,1YSKPGY07w6jr9loaOahaCjII5zHKOXn_,0,O,O,O,X,X,X,0,0,0.9
126,最遅,135,ハバタクカミ,,1I-Ndob5eF6_iv8hj_rbyhfBdnFczdjXJ,0,O,O,O,X,X,X,0,0,0.9
126,最遅,135,パオジアン,,1gnNMZyxt_9NYEExWGhwUmqPXiYPbaW8-,0,O,O,X,X,X,X,0,0,0.9
126,最遅,135,コライドン(バトルフォルム),,1VVS5oWu_ql9PkGaTRfcLTK9VwcSidppT,0,X,X,X,X,X,X,0,0,0.9
126,最遅,135,ミライドン(バトルフォルム),,1I1ShAvd8ommE9ZSVcp3TI4OSPNasUawy,0,X,X,X,X,X,X,0,0,0.9
126,無振り,106,ラブトロス(けしんフォルム),,1y7IbuaSngSIsX3-LoE-xwfDgpHAkjp1n,0,O,X,X,X,X,X,31,0,1
126,無振り,106,カエンジシ,,1JVRe2AhdilAysqANhOQpT5DvHIO917re,0,O,O,O,O,X,X,31,0,1
126,無振り,106,テツノワダチ,,1LLaw5MH_gSZmSgREtwvwIjJG1UhWLlOu,0,O,O,O,X,X,X,31,0,1
126,準速,74,カジリガメ,,1IrHopCepiItjk-6NrgYfa18bW9ViHAsR,0,O,O,O,O,X,X,31,252,1
126,準速,74,スカンプー,,18QQPiErCI6WS-gpqJXPUDL70G2xSMKAL,0,O,O,O,O,X,X,31,252,1
126,準速,74,ワルビル,,1FF61AqV0A1EwA-g4ZShYvDkGmKkdH7Y6,0,O,O,O,O,X,X,31,252,1
126,最速,63,マケンカニ,,1ZtucUGMDtfykNVlqZkVcW7pXrHNObUpw,0,O,O,O,O,X,X,31,252,1.1
126,準速,32,アマカジ,,1k_P9pz49ESzPNNoDP2PT88ndRyDwEnZp,1,O,O,O,O,X,X,31,252,1
